Longitude,Latitude,Housing Median Age,Total Rooms,Total Bedrooms,Population,Number Households,Median Income,Label
-122.23,37.88,41,880,129,322,126,83252,1
-122.22,37.86,21,7099,1106,2401,1138,83014,1
-122.24,37.85,52,1467,190,496,177,72574,1
-122.25,37.85,52,1274,235,558,219,56431,1
-122.25,37.85,52,1627,280,565,259,38462,1
-122.25,37.85,52,919,213,413,193,40368,1
-122.25,37.84,52,2535,489,1094,514,36591,1
-122.25,37.84,52,3104,687,1157,647,31200,1
-122.26,37.84,42,2555,665,1206,595,20804,1
-122.25,37.84,52,3549,707,1551,714,36912,1
-122.26,37.85,52,2202,434,910,402,32031,1
-122.26,37.85,52,3503,752,1504,734,32705,1
-122.26,37.85,52,2491,474,1098,468,30750,1
-122.26,37.84,52,696,191,345,174,26736,0
-122.26,37.85,52,2643,626,1212,620,19167,0
-122.26,37.85,50,1120,283,697,264,21250,0
-122.27,37.85,52,1966,347,793,331,27750,0
-122.27,37.85,52,1228,293,648,303,21202,0
-122.26,37.84,50,2239,455,990,419,19911,0
-122.27,37.84,52,1503,298,690,275,26033,0
-122.27,37.85,40,751,184,409,166,13578,0
-122.27,37.85,42,1639,367,929,366,17135,0
-122.27,37.84,52,2436,541,1015,478,17250,0
-122.27,37.84,52,1688,337,853,325,21806,0
-122.27,37.84,52,2224,437,1006,422,26000,0
-122.28,37.85,41,535,123,317,119,24038,0
-122.28,37.85,49,1130,244,607,239,24597,0
-122.28,37.85,52,1898,421,1102,397,18080,0
-122.28,37.84,50,2082,492,1131,473,16424,0
-122.28,37.84,52,729,160,395,155,16875,0
-122.28,37.84,49,1916,447,863,378,19274,0
-122.28,37.84,52,2153,481,1168,441,19615,0
-122.27,37.84,48,1922,409,1026,335,17969,0
-122.27,37.83,49,1655,366,754,329,13750,0
-122.27,37.83,51,2665,574,1258,536,27303,0
-122.27,37.83,49,1215,282,570,264,14861,0
-122.27,37.83,48,1798,432,987,374,10972,0
